サークル名,著者,キーワード,ジャンル詳細,詳細ページ,Webサイト,設営場所
"あかまる","あかさか","AI,HW","電子制御されたミニ四駆を用いて、無制御のミニ四駆では走破が難しいコースで競う競技、ミニ四駆AIに関する書物を持っていきます。AIとは名ばかりでゴリゴリの制御の話の本を持っていきます。また今回、HWの頒布も予定しています。","https://techbookfest.org/event/tbf06/circle/48010004","","う16"
"こじくれワークス","ふくふく亭","HDD,MRAM,SSD","半導体メモリとストレージの教科書。フラッシュメモリ、SSD、HDD、次世代不揮発性メモリ、MRAM、強誘電体メモリ、相変化メモリなどを扱います","https://techbookfest.org/event/tbf06/circle/56020003","http://affiliate-with.hatenablog.com/","う17"
"SIGCOWW","SIGCOWWのゆかいな仲間たち","Highway,Input,Output,network,to","これまで発行してきた合同誌の総集編を予定しています。内容は次のとおりです。「コーヒーメーカー・電子棚札の解析」「同人サークルにおける電子決済の導入と運用」「アイドルマスターのキャラクターを題材にしたクラスタリング・化合物部分構造解析・タンパク質・回帰モデルについて」「Input-to-Output Highway network を用いた統計的声質変換の解説と実例」","https://techbookfest.org/event/tbf06/circle/50570003","https://sigcoww.org/","う18"
"はどら秘密研究所","はどら","PC,Pi,Raspberry,eHDD,ニキシー","Raspberry Pi応用自作ポケットPC、eHDD技術解説、ニキシー管表示時計、ニキシー管表示電卓","https://techbookfest.org/event/tbf06/circle/48150001","http://www.kennel.org   http://enpon.blog.so-net.ne.jp/   http://hydra.cx/","う19"
"コテツ商会","山本小鉄","C,L,STM,Windows","WindowsでSTM32というマイコンを動かすための入門書です。C言語を使っての入門書となります。環境のセットアップからLチカまで、初めてマイコンを使う人から、他のマイコンの経験はあるけど、STM32が初めてという人も読んでください。40ページ500円です。","https://techbookfest.org/event/tbf06/circle/42000003","https://kotetsu-yama.booth.pm","う20"
"しょぼんブログ","YUKITO KATO","SCCM,Windows,クライアント,スイート","Windows 10 1809を大規模展開する際に必要となる、マスタイメージ作成ハウツー本と、マイクロソフトのクライアント管理スイート、SCCM 2016の基本設定方法を解説した本です。","https://techbookfest.org/event/tbf06/circle/46180001","https://syobon.jp","う21"
"SaveOurServers.io","柚城あやと","Active,Directory,Windows","Windows Active Directory の解説本","https://techbookfest.org/event/tbf06/circle/50410001","","う22"
"すいみん日和","ik-fib","SSH,Tips","SSHに関する最新情報・Tipsなどをまとめたガイドブックを出す予定です。","https://techbookfest.org/event/tbf06/circle/56040001","https://ik-fib.com/","う23"
"シス管系女子会","Piro","Linux,SE,SSH,Web,シス,ムック","SSH越しでのLinuxサーバーのコマンド操作の勘所を実例ベースで分かりやすく解説する「まんがでわかるLinux シス管系女子」のムックや特別編、キャラクターグッズなどを頒布します。社内SEやWeb開発の現場で働くプログラマーの方、コマンド操作に苦手意識のある方の不安解消に効果てきめん！ 自信を持ってコマンド操作できる中級者レベルへのステップアップにおすすめです！","https://techbookfest.org/event/tbf06/circle/58320001","https://system-admin-girl.com/","う24"
"眠狸亭","zkada","FreeBSD,OPNsense,XigmaNAS","FreeBSDやその派生であるOPNsense、XigmaNASの解説本","https://techbookfest.org/event/tbf06/circle/64020001","","う25"
